,content
103,"Dulu saya pas d tim SSB Semen Padang pernah dilatih sama pak weliansyah ini, salah satu pelatih dengan visi bermain bola yg sgt baik. Happy b'day and happy cake day Coach! https://t.co/ynNnNJh2v7"
104,"Wong dulu, gw bareng2 lari2 di depan Atmajaya ama anak2 Liqo yg gabung di KAMMI, ikut aksi. Dikejar2 ama PAM Swakarsa (cikal bakal FPI) yg bawa bambu runcing, yg ga segen2 bunuh org. https://t.co/Xyweg9nJUa"
105,"@Atmajaya_DW Thanks infonya, ud ganti ke diamond jadinya hehe"
106,Tapi tetap Daredevil yang the best wkwkwkwk.
107,"Awalnya ragu sama Titans, takut blunder. Pas udah 5 episode akhirnya yakin kalau Titans bisa menyaingi serial2 di Arrow-verse. Mungkin lebih bagus malah."
108,"Tanya siapa yg Perintahkan tembak mati Yun Hap Mahasiswa Univ Atmajaya di depan Univ Atmajaya Jl. Semanggi setelah Pak Harto sudah out dan Prabowo tdk berada di Indonesia. Yg perintah dan Dalangnya ada didalam saat ini Menjadi Menteri si Mukidi!

https://t.co/Xa46vzyhxl https://t.co/Vb8xA4C6tq"
109,"@Anggraini_4yu jangan grusa grusu dulu, jurkamnya nanti operasi plastik bilang dikroyok :)"
110,@UnikaAtmaJaya Ini harus anak unika atmajaya ya ?
111,Nasduk Atmajaya 🔥
112,"Panggilan untuk kembali ke Kampus Semanggi

Para lulusan FEB UAJ, mari kembali ke kampus pada tgl 17 Feb 2019, reuni akbar FEB Unika Atma Jaya Jakarta.

Daftar dan beli kaos reuni di https://t.co/jNvgpKljJY 

Mari kita kembali nostalgia di kampus tercinta

#ikafebgames #atmajaya https://t.co/5PQg4oypJf"
113,@Atmajaya_DW Mungkin maling ayam
114,Perekonomian njengkelit gara gara atmajaya
115,Terimakasih Line karna sudah mengembalikan akun Extratime kembali ke timeline nya.
116,"Waaa mulai dari UI, Airlangga, IYS, ITB Unpad, IPB, UGM, Parahyangan, Trisakti, Atmajaya, serta perguruan tinggi negeri dan swasta lainnya adalah bukti bahwa bangsa ini kuat. Bersatu kita kuat! -NA-
#JokowiAminMenangDebat"
117,Dapatkah kamu meluangkan waktu sebentar untuk membantu Rangga Atmajaya? https://t.co/aY6N1VxEio
118,Dapatkah kamu meluangkan waktu sebentar untuk membantu Rangga Atmajaya? https://t.co/BH90cAThdX
119,"Mitra Pratama.ikuti Talk show SoMan bersama Pratamafm jam 14.00 wib
Tema ""Bertahan dengan 1 Ginjal
Bersama Dr Dony Atmajaya
Streaming Erdio (Regional Riau)"
120,@androar Ingin ku menangis
121,Ya wajar kalah pemain cedera semua
122,@AdenRomeo1 @YJamluddin @Gemacan70 Tanya yg angkat Pangkostrad Letjen Djamari Chaniago dengan pasukan Kostrad saat peristiwa Semanggi dan ditembak matinya Yap Yun Hap Mahasiswa FT-UI didepan Univ Atmajaya.
123,Timeline Line menjadi hampa ketika akun Extra-time dibanned 😒😒
124,Hayo anak2 suku Tionghoa yg tembak mati “Yap Yun Hap” (mahasiswa FT-UI) di depan Univ Atmajaya “ada didalam” yang menyesal dan minta maaf sama Ahok (minta maaf artinya mengakui salah) juga “ada didalam”...tunjukkan sikap dan pilihanmu nanti.....!!!
125,@LaelyHidayati Aku? Atmajaya hehe kenapa?
126,"@Ronnie_Rusli @uutrahmat Aparat PHH nguber"" sampai belakang gedung WTC ke mahasiswa yg ada disekitar kampus atmajaya"
127,Suka aku ni https://t.co/RWqhJQeBd6
128,"@wiranto1947 Tragedi 1998 depan universitas atmajaya jl. Semanggi, masih ingag kah kau dg penembakan seorang mahasiswa yg bernama yunhap pak ? 

Tanggung jawabmu"
129,@wiranto1947 Masih ingat pak dg pelajar Universitas atmajaya (yunhap) yang di tembak atas suruhan dan arahanmu. Masih ingat ?
130,"Substansinya Adu Domba... makanya bungkusnya ngawur semua/ asal-asalan. Tak ada ""Suku Tionghoa"" ...dan Yun Hap bukan mahasiswa Atmajaya tetapi Jurusan Elektro Universitas Indonesia. Fahamkan Adu Domba ? Dan BJ Habibie presiden saat itu, mau nyalahin Habibie ? https://t.co/v27absbg07"
131,@detachairunnisa Dia alumni psikolog atmajaya anday kereennnnn
