,content
84,@bstio @Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Ga sekolah ky nya.. atw bolos pas  pelajaran PSPB
85,Keluarga Besar UAJY Gelar Perayaan Natal https://t.co/FAhWOVSA3k https://t.co/jNRBSqR2Gv
86,@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy arek mabok racun tikus
87,@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy PKI? Dulu pernah ikut kelas sejarah perjuangan bangsa mas? Fyi itu partai udah bubar.... 😅
88,@pr1841788 @Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Kenapa mereka suka gorengan basi ya..?😁
89,@BiLLRaY_ @Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy @DivHumas_Polri Kampret mh gtuu...lpornya ke medsos...giliran keciduk bilang didzalimi....
90,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Tangkap ni bocah bego, penebar hoax"
91,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy wah... mulut nya mirip si wowo nih bocah...
kebanyakan hoax lu....
dasar anak PRRI lu..."
92,"@Ricardo18813858 @jokowi @tni_ad @884GlobalRadio @agmunthe @anakgadih_amak @anggitautami_ @galucutaw @titaaafm @Adeee_hs @13Fitfitri @AdhityaRatih @ainahrf @alfridharyadi @AnggunHelen @AnnisaDyahUtam2 @anti_hi @ApryanaHari @AqillaHumaira5 @uajy Di Ciduk Nnati Pasti mewek..Jelas"" Tweet nya Menuduh OakbJokowi Dan Megawati PKI...
@MabesPolri 
@kemkominfo 
@KemensetnegRI 
@setkabgoid 
@mabespolri_"
93,"@ERDEFAS untuk masalah nilai belum keluar, hal tersebut setau saya (mahasiswa  TI yang juga memiliki kendala nilai belum keluar) tergantung dari dosennya. apakah sudah input atau belum. Jadi tidak dapat dipastikan."
